Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
204,Kirsten Anderson,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
205,Kira Wolf,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
206,Kimberly Rostvold,2,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0
207,Kathryn Pratt,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
208,Kate Martin,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
209,Karen Jones,2,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
210,Kara Greshwalk,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
211,Justine Wulff,2,40.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
212,Julia Constantineau,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
213,Joan Rundman,2,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
214,Jillian Lukez,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
215,Jessica Willey,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
216,Jennifer Rolfes,2,40.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
217,Jan Guenther,2,40.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
218,Hanna Torvi,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
219,Greta Hedman,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
220,Emma Spoon,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
221,Emily Hopke,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
222,Elsa Bergdahl,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
223,Elise Pudwill,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
224,Elinor Kandziora,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
225,Eleanor Grossman,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
226,Eleanor Bennett,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
227,Elaine Nelson,2,40.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
228,Darla Lenz,2,40.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
229,Chris Bennett-Gagner,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
230,Cheryl Dubois,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
231,Cecelia Toshner,2,40.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0
232,Carmen Mclaren,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
233,Caitlin Richter,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
234,Caitlin Keiper,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
235,Brynn Teter,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
236,Bridget Price,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
237,Aria Peng,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
238,Anne Straka,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
239,Andrea Potyondy-Smith,2,40.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
240,Amy Perkins,2,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
241,Amy Lee,2,40.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
242,Amelia Decker,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
243,Amaeli Kam-Magruder,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
244,Allyson Nafstad,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
245,Aliza Kresha,2,40.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
246,Hannah Johnson,1,39.73,0.0,39.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Rachel Lerner,1,39.26,0.0,0.0,0.0,0.0,0.0,39.26,0.0,0.0,0.0
248,Rylee Story,1,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46,0.0
